listing_id,title,subtitle,price,year,km,hand,gearbox,engine,engine_type,engine_cc,location,current_ownership,original_ownership,test_valid_until,score,decision,positive_reasons,flags,image_count,url,color,body_type,phone_available,first_seen_at,last_seen_at,last_notified_at,tags
2lklgd9y,הונדה ג'אז,Comfort אוט׳ 1.3 (102 כ״ס) [2015-2018],"49,900 ₪",2016,"63,300",2,אוטומט,"בנזין, 1318",בנזין,1318,אזור חדרה והסביבה,פרטית,,01/10/2026,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,52,https://www.yad2.co.il/vehicles/item/2lklgd9y,אפור,האצ'בק,no,16/08/2026 12:13,16/08/2026 15:17,,
fixhl25m,הונדה סיוויק,Executive אוט׳ סדאן 4 דל 1.8 (142 כ״ס),"51,875 ₪",2017,"108,000",1,אוטומט,"בנזין, 1798",בנזין,1798,אזור ירושלים,פרטית,,01/01/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 1,,69,https://www.yad2.co.il/vehicles/item/fixhl25m,אפור עכבר,סדאן,no,16/08/2026 11:58,19/08/2026 17:08,,
y06yqz53,מאזדה 3,Comfort אוט׳ סדאן 4 דל 1.5 (120 כ״ס) [2017-2019],"53,000 ₪",2019,"150,000",2,אוטומטי,"בנזין, 1496",בנזין,1496,אזור השפלה,פרטית,,01/01/2027,60,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,"high_km: 150,000",4,https://www.yad2.co.il/vehicles/item/y06yqz53,לבן,סדאן,no,16/08/2026 09:54,16/08/2026 09:54,,
j28ctthr,סוזוקי קרוסאובר,GLX אוט׳ 1.6 (120 כ״ס),"39,000 ₪",2016,"145,000",2,אוטומט,"בנזין, 1586",בנזין,1586,פתח תקווה והסביבה,פרטית,,01/09/2026,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,18,https://www.yad2.co.il/vehicles/item/j28ctthr,לבן,האצ'בק,no,16/08/2026 09:23,16/08/2026 09:54,,
ji8abpir,סוזוקי קרוסאובר,GLX אוט׳ 1.6 (120 כ״ס),"39,000 ₪",2016,"118,000",2,אוטומט,"בנזין, 1586",בנזין,1586,אזור תל אביב יפו,פרטית,,01/08/2026,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,798,https://www.yad2.co.il/vehicles/item/ji8abpir,כסוף מטאלי,האצ'בק,no,16/08/2026 09:23,19/08/2026 17:08,,
xl2u4hfq,סוזוקי קרוסאובר,GLX אוט׳ 1.6 (120 כ״ס),"44,875 ₪",2016,"97,000",1,אוטומט,"בנזין, 1586",בנזין,1586,אזור חיפה והסביבה,פרטית,,01/11/2026,81,notify,condition: 'שמור' | private_ownership: 'פרטית' | first_or_second_hand: יד 1,,342,https://www.yad2.co.il/vehicles/item/xl2u4hfq,לבן,האצ'בק,no,16/08/2026 09:23,19/08/2026 17:08,16/08/2026 23:39,יד ראשונה | בקרת שמירת מרחק | שמור ביותר
kujngfia,מאזדה 3,Comfort אוט׳ סדאן 4 דל 1.5 (120 כ״ס) [2014-2018],"4,900 ₪",2016,"145,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור רמלה - לוד,פרטית,,01/05/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,12,https://www.yad2.co.il/vehicles/item/kujngfia,לבן פנינה,סדאן,no,16/08/2026 09:23,16/08/2026 09:54,,
05f92kq1,מאזדה 2,Dynamic אוט׳ 1.5 (112 כ״ס),"52,000 ₪",2018,"108,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור תל אביב יפו,פרטית,,01/08/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,320,https://www.yad2.co.il/vehicles/item/05f92kq1,אפור,האצ'בק,no,16/08/2026 09:22,19/08/2026 17:08,16/08/2026 23:40,
x6hew2jz,טויוטה קורולה,Sun אוט׳ 1.6 (132 כ״ס) [2016-2019],"3,000 ₪",2016,"137,000",2,אוטומט,"בנזין, 1598",בנזין,1598,"אזור יקנעם, טבעון והסביבה",פרטית,,01/09/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,12,https://www.yad2.co.il/vehicles/item/x6hew2jz,אפור מטאלי,סדאן,no,16/08/2026 09:22,16/08/2026 09:54,,
ystio3rh,טויוטה קורולה,Sun אוט׳ 1.6 (132 כ״ס) [2016-2019],"54,000 ₪",2017,"144,000",2,אוטומט,"בנזין, 1598",בנזין,1598,אזור עכו נהריה והסביבה,פרטית,,01/02/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,21,https://www.yad2.co.il/vehicles/item/ystio3rh,לבן שנהב,סדאן,no,16/08/2026 09:22,16/08/2026 09:54,,
2gwbbk52,טויוטה קורולה,Sun אוט׳ 1.6 (132 כ״ס) [2016-2019],"53,500 ₪",2017,"140,652",2,אוטומט,"בנזין, 1598",בנזין,1598,פתח תקווה והסביבה,פרטית,,01/02/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,6,https://www.yad2.co.il/vehicles/item/2gwbbk52,לבן,סדאן,no,16/08/2026 09:22,16/08/2026 09:54,,תא מטען גדול | חסכוני | בקרת שמירת מרחק
2wdhv97w,מאזדה 2,Dynamic אוט׳ 4 דל 1.5 (116 כ״ס),"50,000 ₪",2021,"116,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור ירושלים,פרטית,,01/02/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,195,https://www.yad2.co.il/vehicles/item/2wdhv97w,שחור,האצ'בק,no,16/08/2026 09:22,17/08/2026 09:40,,
zu9rl2al,מאזדה 2,Dynamic אוט׳ 1.5 (112 כ״ס),"50,500 ₪",2017,"104,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור נצרת - שפרעם והסביבה,פרטית,,01/04/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,320,https://www.yad2.co.il/vehicles/item/zu9rl2al,כחול,האצ'בק,no,16/08/2026 09:22,19/08/2026 17:08,,
ftd2zj76,מאזדה 3,Spirit אוט׳ סדאן 4 דל 2.0 (165 כ״ס) [2014-2016],"52,900 ₪",2016,"148,000",2,אוטומט,"בנזין, 1998",בנזין,1998,אזור ראשון לציון והסביבה,פרטית,,01/01/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,18,https://www.yad2.co.il/vehicles/item/ftd2zj76,לבן שנהב,סדאן,no,16/08/2026 09:22,16/08/2026 09:54,,
5qr95wfy,מאזדה 2,Dynamic אוט׳ 1.5 (112 כ״ס),"53,000 ₪",2017,"108,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור הוד השרון והסביבה,פרטית,,01/09/2026,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,99,https://www.yad2.co.il/vehicles/item/5qr95wfy,לבן שנהב,האצ'בק,no,16/08/2026 09:22,16/08/2026 19:39,,
e9p8jtdm,מאזדה 3,Spirit אוט׳ סדאן 4 דל 2.0 (165 כ״ס) [2014-2016],"54,025 ₪",2016,"134,000",2,אוטומט,"בנזין, 1998",בנזין,1998,"אזור אשדוד, אשקלון והסביבה",פרטית,,01/05/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,3,https://www.yad2.co.il/vehicles/item/e9p8jtdm,לבן שנהב,סדאן,no,16/08/2026 09:22,16/08/2026 09:54,,
op904sgy,מאזדה 2,Dynamic אוט׳ 1.5 (112 כ״ס),"41,000 ₪",2018,"147,125",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור נס ציונה ורחובות,פרטית,,01/06/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,15,https://www.yad2.co.il/vehicles/item/op904sgy,כסוף,האצ'בק,no,16/08/2026 09:22,16/08/2026 09:54,,
6mbqxuaj,מאזדה 2,Pure White אוט׳ 1.5 (112 כ״ס),"55,000 ₪",2017,"141,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור חיפה והסביבה,פרטית,,01/12/2026,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,12,https://www.yad2.co.il/vehicles/item/6mbqxuaj,אפור עכבר,האצ'בק,no,16/08/2026 09:21,16/08/2026 09:54,,
g3z3hkmt,טויוטה יאריס,Sol אוט׳ 1.3 (99 כ״ס) [2014-2017],"42,000 ₪",2016,"142,000",2,אוטומט,"בנזין, 1329",בנזין,1329,אזור חיפה והסביבה,פרטית,,01/07/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,3,https://www.yad2.co.il/vehicles/item/g3z3hkmt,לבן,האצ'בק,no,16/08/2026 09:21,16/08/2026 09:54,,
g9hrstvs,מאזדה 2,Dynamic אוט׳ 1.5 (112 כ״ס),"46,000 ₪",2016,"123,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור נתניה והסביבה,פרטית,,01/06/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,6,https://www.yad2.co.il/vehicles/item/g9hrstvs,סגול מטאלי,האצ'בק,no,16/08/2026 09:21,16/08/2026 09:54,,
0jado621,יונדאי I35,Inspire אוט׳ 1.6 (132 כ״ס),"45,000 ₪",2016,"146,000",2,אוטומט,"בנזין, 1591",בנזין,1591,אזור הר הנגב,פרטית,,01/01/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,28,https://www.yad2.co.il/vehicles/item/0jado621,אפור,סדאן,no,16/08/2026 09:21,16/08/2026 10:09,,
wjcp5dd3,יונדאי I35,Supreme אוט׳ 1.6 (132 כ״ס),"49,000 ₪",2016,"118,000",2,אוטומט,"בנזין, 1591",בנזין,1591,אזור באר שבע והסביבה,פרטית,,01/03/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,424,https://www.yad2.co.il/vehicles/item/wjcp5dd3,שחור,סדאן,no,16/08/2026 09:21,18/08/2026 18:13,16/08/2026 23:39,
6vcz4shx,הונדה ג'אז,Comfort אוט׳ 1.3 (102 כ״ס) [2017-2021],"52,500 ₪",2019,"140,000",1,אוטומט,"בנזין, 1318",בנזין,1318,אזור רעננה וכפר סבא,פרטית,,01/05/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 1,,12,https://www.yad2.co.il/vehicles/item/6vcz4shx,לבן פנינה,האצ'בק,no,16/08/2026 09:20,16/08/2026 10:09,,
doyljske,הונדה סיוויק,Comfort אוט׳ האצ'בק 5 דל 1.8 (142 כ״ס),"47,000 ₪",2016,"96,000",2,אוטומט,"בנזין, 1798",בנזין,1798,אזור חיפה והסביבה,פרטית,,01/07/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,640,https://www.yad2.co.il/vehicles/item/doyljske,אפור מטאלי,האצ'בק,no,16/08/2026 09:20,19/08/2026 17:08,,
t24nzyrk,הונדה ג'אז,Comfort אוט׳ 1.3 (102 כ״ס) [2017-2021],"55,000 ₪",2020,"135,000",1,אוטומט,"בנזין, 1318",בנזין,1318,אזור חיפה והסביבה,פרטית,,01/03/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 1,,4,https://www.yad2.co.il/vehicles/item/t24nzyrk,אפור,האצ'בק,no,16/08/2026 09:20,16/08/2026 10:09,,
8m6im8qa,הונדה סיוויק,Comfort אוט׳ סדאן 4 דל 1.8 (142 כ״ס),"35,350 ₪",2016,"124,000",2,אוטומט,"בנזין, 1798",בנזין,1798,אזור באר שבע והסביבה,פרטית,,01/11/2026,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,16,https://www.yad2.co.il/vehicles/item/8m6im8qa,אפור,סדאן,no,16/08/2026 09:20,16/08/2026 10:09,,
oco63mxj,הונדה סיוויק,Comfort אוט׳ סדאן 4 דל 1.8 (142 כ״ס),"45,000 ₪",2016,"67,000",2,אוטומט,"בנזין, 1798",בנזין,1798,אזור עמק בית שאן,פרטית,,01/09/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,206,https://www.yad2.co.il/vehicles/item/oco63mxj,לבן,סדאן,no,16/08/2026 09:20,17/08/2026 09:24,,
